"Url","HasHeader","HasLogo","Q_Spaced_Count","Q_BeforeYear_Count","TickN_Count","LiteralSlashN_Count","ReplacementFFFD_Count"
"https://beeplanetconnection.org/","True","True","0","1","130","0","0"
"https://beeplanetconnection.org/about/","True","True","0","1","119","0","0"
"https://beeplanetconnection.org/blog/","True","True","0","1","65","0","0"
"https://beeplanetconnection.org/contact/","True","True","0","1","68","0","0"
"https://beeplanetconnection.org/directory/","True","True","0","1","129","0","0"
"https://beeplanetconnection.org/forum/","True","True","0","0","96","0","0"
"https://beeplanetconnection.org/tools/","True","True","0","1","100","0","0"
"https://beeplanetconnection.org/wiki/","True","True","0","0","126","0","0"
"https://beeplanetconnection.org/wiki/colony-health/","True","True","0","0","69","0","0"
"https://beeplanetconnection.org/wiki/colony-health/cornerstone.html","True","True","0","0","103","0","0"
"https://beeplanetconnection.org/wiki/community-policy/","True","True","0","0","69","0","0"
"https://beeplanetconnection.org/wiki/community-policy/cornerstone.html","True","True","0","0","100","0","0"
"https://beeplanetconnection.org/wiki/data-sensing/","True","True","0","0","72","0","0"
"https://beeplanetconnection.org/wiki/data-sensing/cornerstone.html","True","True","0","0","95","0","0"
"https://beeplanetconnection.org/wiki/foundations/","True","True","0","0","72","0","0"
"https://beeplanetconnection.org/wiki/foundations/cornerstone.html","True","True","0","0","100","0","0"
"https://beeplanetconnection.org/wiki/operations/","True","True","0","0","73","0","0"
"https://beeplanetconnection.org/wiki/operations/cornerstone.html","True","True","0","0","96","0","0"
"https://beeplanetconnection.org/wiki/sustainability-environment/","True","True","0","0","78","0","0"
"https://beeplanetconnection.org/wiki/sustainability-environment/cornerstone.html","True","True","0","0","102","0","0"
